There are 0 tracks left to validate.,,,Sumi has done 740 and Vanessa has done 805.,,Yes,SON,"1. Confirm that the track is NOT SKETCHY (e.g., overproduced, operatic, etc).",2. Confirm that there is an AUDIBLE SINGER.,3. Are there any problems with the TYPE classification?,4. Are there any problems with the REGION classification? ,5. Are there any problems with the GLOTTOCODE classification?,,"These fields are provided for quick reference, as they might make it easier to locate validation info in liner notes",,,,,,,,,
NHS2-1031,Work,Northwestern South America,Colombian,piar1243,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/piar1243,Manioc Scraping Song,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""work song; initiation rite; manioc song; preparatory song""// Global Jukebox//Coding ID: 4324","""Women prepare manioc beer; men weave stinging ants into basketry for initiation ordeal""//Global Jukebox// Coding ID: 4324",1,,NLC,LGY
NHS2-1057,Work,Northwestern South America,Colombian,stan1288,No,VYM,No,Yes,,,,,https://glottolog.org/resource/languoid/id/stan1288,La Tonada,Track 8,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",La tonada (The [Milking] Song) //Liner Notes of the album ¡Cimarrón! Joropo Music from the Plains of Colombia,"""One of the most important tasks of ranch life is milking the cows. The ordeñadora (milker) may accompany her work by singing verses that calm the animal, mention its name, and tell the helper which cow to bring next from the corral. In this example, Ana Veydó, who milked cows as a girl, sings to cows named Resedá (a flower), Yaguazo (a wild duck), Terciopelo (velvet), and Cunaviche (a region of the Venezuelan plains).""//Liner Notes of the album ¡Cimarrón! Joropo Music from the Plains of Colombia",0,,NLC,LGY
NHS2-1058,Work,Northwestern South America,Tucano,tuca1252,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tuca1252,Cocoa Pounding Song,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Cocoa Pounding Song""//Title field on Global Jukebox, Coding ID: 3858","""Work song""//Genre field on Global Jukebox, Coding ID: 3858",1,,NLC,CMB
NHS2-1067,Dance,Plains and Plateau,Cree,cree1272,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/cree1272,Cree: Grass Dance Song,"DISC 1, TRACK 8","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance//FOLKWAYS CATALOGUE # FW04464 / FE 4464, LINER NOTES PAGE 6 , SIDE 1 , BAND 8//","The Grass Dance is one of the most popular dances of the Plains Indians. Originally danced only by a sele t group of warriors who were used as ""shock troops ""//FOLKWAYS CATALOGUE # FW04464 / FE 4464, LINER NOTES PAGE 6 , SIDE 1 , BAND 8//",1,,SAS,LGY
NHS2-1083,Dance,Plains and Plateau,Blackfoot,siks1238,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/siks1238,War or grass dance songs,Track 9,,8,8,1,,SAM,LGY
NHS2-1068,Healing,Plains and Plateau,Sioux,dako1258,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,"According to Google, the Sioux tribe (Eagle Shield) speaks Lakota ",https://glottolog.org/resource/languoid/id/dako1258,Song of the Bear,"Disc 1, Track 5","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Healing//SMITHSONIAN FOLKWAYS, ''HEALING SONGS OF THE AMERICAN INDIANS,'' LINER NOTES PAGE4, THIS IS UNDER SIDE 1 BAND 5, SONG OF THE BEAR//","The singer recorded nine songs used in his treatment of the sick and these songs were received when a bear appeared to him in a dream, taught him the songs and revealed the herb that he used with it in his treatments. //SMITHSONIAN FOLKWAYS, ''HEALING SONGS OF THE AMERICAN INDIANS,'' LINER NOTES PAGE4, THIS IS UNDER SIDE 1 BAND 5, SONG OF THE BEAR//",1,,SAS,LGY
NHS2-1070,Healing,Plains and Plateau,Flathead,kali1308,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kali1308,Sweathouse Song,"Side 1, Track 9","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Healing//FOLKWAYS, SONGS AND DANCES OF THE FLATHEAD INDIANS, LINER NOTES PAGE 4, THIS IS UNDER SWEATHOUSE SONG//","This song, sung by Ellen Big Sam, is one of seven given her uncle by spirits in order to cure an eye affliction//FOLKWAYS, SONGS AND DANCES OF THE FLATHEAD INDIANS, LINER NOTES PAGE 4, THIS IS UNDER SWEATHOUSE SONG//",1,,SAS,LGY
NHS2-1078,Healing,Plains and Plateau,Pawnee,pawn1254,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/pawn1254,Peyote song,"Side 1, Track 3F",,7,7-Aug,1,,SDA,LGY
NHS2-1084,Healing,Plains and Plateau,Blackfoot,siks1238,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/siks1238,Beaver Medicine Song: Marmot Song / Antelope Song / Black Deer Song (medley),"SIDE 1, TRACK 1",The song is identified as such in its title or label,"Healing//FOLKWAYS, AN HISTORICAL ALBUM OF BLACKFOOT INDIAN MUSIC, LINER NOTES PAGE 4. THIS IS UNDER ' BEAVER MEDICINE SONG ' SIDE A, BAND1A-1C//","The Beaver Medicine Bundle was the largest and most prominent of the medicine bundle types used by the Blackfoot. Most Beaver Medicine Bundle songs were sung solo, and each object in the bundle had its own song which was sung when the object was taken out of its wrappings. //FOLKWAYS, AN HISTORICAL ALBUM OF BLACKFOOT INDIAN MUSIC, LINER NOTES PAGE 4. THIS IS UNDER ' BEAVER MEDICINE SONG ' SIDE A, BAND1A-1C//",1,,SAS,LGY
NHS2-1071,Love,Plains and Plateau,Flathead,kali1308,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kali1308,Love Song,"Side 1, Track 6",The song is identified as such in its title or label,"Love Song//LINER NOTES FOR 'SONGS AND DANCES OF THE FLATHEAD INDIANS' ON SMITHSONIAN FOLKWAYS, RELEVANT TEXT ON PAGE 4 SIDE 1, BAND 6//","This song, sung by Catherine Nine Pipe, was her mother's personal love song. In singing it the performer underwent a trying emotional experience, for it reminded her of her parents.Much of the deep emotion it elicited is apparent to the listener//LINER NOTES FOR 'SONGS AND DANCES OF THE FLATHEAD INDIANS' ON SMITHSONIAN FOLKWAYS, RELEVANT TEXT ON PAGE 4 SIDE 1, BAND 6//",1,,SAS,LGY
NHS2-1079,Love,Plains and Plateau,Pawnee,pawn1254,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/pawn1254,Man's love song,"Side 1, Track 3",,8,6,1,,SAM,LGY
NHS2-1072,Lullaby,Plains and Plateau,Flathead,kali1308,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kali1308,Lullaby,"Side 2, Track 3","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Lullaby//SMITHSONIAN FOLKWAYS, SONGS AND DANCES OF THE FLATHEAD INDIANS (ALBUM), LINER NOTES PAGE 5. THIS IS FOUND UNDER THE HEADING- SIDE II BAND 3 LULLABY//","The lullaby is not a song type frequently recognized among the Flathead as such; while songs are sung to soothe children there seems to be no direct translation of the word in Salish. This lullaby, sung by Jerome Vanderburg, is one which he learned from his father who in turn learned it from the wild doves//SMITHSONIAN FOLKWAYS, SONGS AND DANCES OF THE FLATHEAD INDIANS (ALBUM), LINER NOTES PAGE 5. THIS IS FOUND UNDER THE HEADING- SIDE II BAND 3 LULLABY//",1,,SAS,LGY
NHS2-1073,Lullaby,Plains and Plateau,Kiowa,kiow1264,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kiow1264,"Go to Sleep, Baby Boy","Disc 1, Track 5","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is","Lullaby//LINER NOTES LP INSERT PAGE 2, LINK ON FOLKWAYS UNDER ALBUM INFO//","Lullabies can also be found in Kiowa-Apache culture.They are sung to put children to sleep. In this recording of a Kiowa-Apache lullaby, Mrs. Irene Poolaw (nee Chalepah), sings the lullaby that she sang to all of her children //LINER NOTES LP INSERT PAGE 2, LINK ON FOLKWAYS UNDER ALBUM INFO//",1,,SAS,LGY
NHS2-1085,Lullaby,Plains and Plateau,Blackfoot,siks1238,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/siks1238,Lullaby,Track 9,,8,8,1,,SAM,LGY
NHS2-1069,Praise,Plains and Plateau,Sioux,dako1258,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/dako1258,Honoring Song,Disc 1/ Track 7,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Praise//DESCRIPTION FIELD IN GLOBAL JUKE BOX AND TITLE FIELD, CODING ID 1518//","Song recognizing an act of generosity or bravery on the reservation //FOUND IN GLOBAL JUKE BOX DESCRIPTION FEILD, CODING ID 1518//",1,,SAS,LGY
NHS2-1066,Story,Plains and Plateau,Cheyenne,chey1247,Yes,VYM,Yes,Yes,Maybe problematic,Not problematic,Not problematic,"doesn't really tell a story, meant to entertain children (Play song?)",https://glottolog.org/resource/languoid/id/chey1247,Cheyenne Story of the Bogeyman,"Side A, Track 8","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is","Story//MUSIC OF THE AMERICAN INDIANS, LOC, AFS L39, LINER NOTES, PAGE 13, A8//","""When there's a gathering together at ceremonials, you know, getting so many parents and the children, they try to keep the children inside. So the bogeyman he goes along allover the camp so he keep them in. Every tipi he stops andhe sings this song to them//MUSIC OF THE AMERICAN INDIANS, LOC, AFS L39, LINER NOTES, PAGE 13, A8//",1,,SAS,LGY
NHS2-1081,Story,Plains and Plateau,Pawnee,pawn1254,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/pawn1254,Military Society: Hatuxka Lance Society / Wolf War Raid / Military Society: Horse Society / Story of the Wolf and the Scalped Man (medley),"Disc 2, Track 5,d","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is","Story//MUSIC OF THE PAWNEE ALBUM LINER NOTES PAGE 11, D//","A coyote or wolf story told only in the Winter.The incidents refer to the ""trickster"" characterof the wolf//MUSIC OF THE PAWNEE ALBUM LINER NOTES PAGE 11, D//",1,,SAS,LGY
NHS2-1086,Dance,Polynesia,Hawaiian,hawa1245,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hawa1245,Hoe Puna,NA,The song is identified as such in its title or label,"Hula; dance song //GLOBAL JUKEBOX, CODING ID 2443 RELEVANT INFORMATION IN THE GENRE SECTION//",NA,1,,DIS,CMB
NHS2-1087,Dance,Polynesia,Hawaiian,hawa1245,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hawa1245,Mele inoa no Hi'iaka; name chant for the goddess Hi'iaka,Track 20,,11,"2, 11",1,,SDA,LGY
NHS2-1088,Dance,Polynesia,Hawaiian,hawa1245,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hawa1245,He Mea Aloha Ia,NA,The song is identified as such in its title or label,"Hula; dance song //GLOBAL JUKEBOX, CODING ID 2442 RELEVANT INFORMATION IN THE GENRE SECTION//",NA,1,,DIS,CMB
NHS2-1157,Dance,Polynesia,Samoan,tiko1237,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tiko1237,"Mori, Kafosi E",NA,The song is identified as such in its title or label,"Dance song; men's song //GLOBAL JUKEBOX, CODING ID 209 RELEVANT INFORMATION IN THE GENRE AND DESCRIPTION SECTION//",NA,1,,DIS,CMB
NHS2-1158,Dance,Polynesia,Samoan,tiko1237,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tiko1237,"Matavaka, Sisi Matini",NA,The song is identified as such in its title or label,"Recreational dance; dance song ////GLOBAL JUKEBOX, CODING ID 206 RELEVANT INFORMATION IN THE GENRE AND DESCRIPTION SECTION//",NA,1,,DIS,CMB
NHS2-1159,Dance,Polynesia,Samoan,tiko1237,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tiko1237,Mako Vae Rua,NA,The song is identified as such in its title or label,"Dance song; competitive song //GLOBAL JUKEBOX, CODING ID 210 RELEVANT INFORMATION IN THE GENRE AND DESCRIPTION SECTION//",NA,1,,DIS,CMB
NHS2-1160,Dance,Polynesia,Samoan,tiko1237,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tiko1237,Dance song (sea),NA,The song is identified as such in its title or label,"Dance song (sea) //BRITISH LIBRARY, R. Firth Tikopia Recordings, SHELF MARK 1CDR0001968 (COPY OF C333/2)//",NA,1,,DIS,CMB
NHS2-1161,Dance,Polynesia,Samoan,tiko1237,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tiko1237,Dance of Araya / address by Robinson / Hymn,NA,The song is identified as such in its title or label,"Dance of Araya //BRITISH LIBRARY, R. Firth Tikopia Recordings, SHELF MARK 1CDR0001995 (COPY OF C333/27)//",NA,1,,DIS,CMB
